Timestamp,GyroX,GyroY,GyroZ
36:14.1,-0.027175961,-0.074550135,0.044890776
36:14.2,-0.097677292,-0.075749622,-0.026841468
36:14.2,-0.211051255,-0.042947734,-0.113513513
36:14.2,-0.211051255,-0.042947734,-0.113513513
36:14.2,-0.084491715,-0.154409547,-0.132956986
36:14.2,-0.081564368,-0.187813311,-0.171549918
36:14.2,-0.081564368,-0.187813311,-0.171549918
36:14.3,-0.141924648,-0.133729569,-0.297830359
36:14.3,-0.104838798,-0.10930705,-0.273179341
36:14.3,-0.104838798,-0.10930705,-0.273179341
36:14.3,0.142279914,-0.051430168,-0.19285281
36:14.3,0.266029287,0.109422099,-0.142353683
36:14.3,0.301836553,0.216132034,-0.135805503
36:14.4,0.204276706,0.140591203,-0.215118968
36:14.4,0.204276706,0.140591203,-0.215118968
36:14.4,0.024839037,0.07817523,-0.404695291
36:14.4,-0.069770826,0.074270769,-0.553527114
36:14.4,-0.069770826,0.074270769,-0.553527114
36:14.4,-0.006073871,0.1031413,-0.62311285
36:14.5,0.103224923,0.0844523,-0.539635
36:14.5,0.224401149,0.106544819,-0.40470834
36:14.5,0.278732032,0.187814376,-0.301818443
36:14.5,0.251724117,0.246202052,-0.232133904
36:14.5,0.197265402,0.182777007,-0.199002316
36:14.5,0.159665562,0.004603807,-0.182079258
36:14.6,0.177232039,-0.138410074,-0.164055251
36:14.6,0.231790356,-0.167051307,-0.165174577
36:14.6,0.256450961,-0.133599607,-0.204761135
36:14.6,0.271661606,-0.098924184,-0.25719425
36:14.6,0.266527298,-0.091187967,-0.286096738
36:14.6,0.240425922,-0.063901485,-0.284985934
36:14.7,0.187930756,-0.041739724,-0.291371129
36:14.7,0.106003399,-0.014883342,-0.319160682
36:14.7,-0.013920343,0.010140252,-0.338376454
36:14.7,-0.092435658,-0.041014811,-0.340562377
36:14.7,-0.073697923,-0.068200626,-0.349167317
36:14.7,-0.066128953,-0.049864496,-0.35450083
36:14.8,-0.120911508,0.064243169,-0.35755947
36:14.8,-0.20420773,0.183856918,-0.316699122
36:14.8,-0.215816716,0.207335347,-0.20958119
36:14.8,-0.127347836,0.115134047,-0.085496259
36:14.8,-0.002938532,0.015312111,-0.035318842
36:14.8,0.075735508,-0.029746178,-0.046101982
36:14.9,0.072516811,0.044356812,-0.176654932
36:14.9,0.072516811,0.044356812,-0.176654932
36:14.9,0.034524421,0.041468081,-0.174507625
36:14.9,0.073444657,0.287075982,-0.017868213
36:14.9,0.073444657,0.287075982,-0.017868213
36:14.9,0.160012306,0.416957017,0.022963905
36:15.0,0.341483831,0.521499938,-0.048698564
36:15.0,0.341483831,0.521499938,-0.048698564
36:15.0,-0.035931369,0.072240908,-0.127334786
36:15.0,-0.035931369,0.072240908,-0.127334786
36:15.0,-0.311138708,-0.282680435,-0.240146823
36:15.0,0.065102304,0.10578209,-0.372545078
36:15.1,0.065102304,0.10578209,-0.372545078
36:15.1,0.401662217,0.49767956,-0.186883601
36:15.1,0.491543903,0.33937514,-0.035038145
36:15.1,0.491543903,0.33937514,-0.035038145
36:15.1,0.192100467,-0.337971388,-0.604429177
36:15.1,0.141413055,-0.291093361,-0.845303043
36:15.2,0.141413055,-0.291093361,-0.845303043
36:15.2,0.118739967,0.043129628,-1.062270244
36:15.2,0.143634664,0.1078258,-1.071834188
36:15.2,0.143634664,0.1078258,-1.071834188
36:15.2,0.136359973,-0.127428263,-1.188846562
36:15.2,0.14977618,-0.298984573,-1.326131717
36:15.3,0.119288578,-0.431172971,-1.465499465
36:15.3,0.098775846,-0.519004024,-1.631586441
36:15.3,0.080518811,-0.583206979,-1.761235514
36:15.3,0.065878616,-0.591355186,-1.85226529
36:15.3,0.116607307,-0.481312305,-1.903543125
36:15.3,0.139982937,-0.36133237,-1.939810053
36:15.4,0.042359441,-0.331986466,-2.011498088
36:15.4,-0.078101993,-0.382331928,-2.11540478
36:15.4,-0.119549035,-0.44205012,-2.228979812
36:15.4,-0.11964411,-0.469858315,-2.307187
36:15.4,-0.15269314,-0.511651036,-2.325435246
36:15.4,-0.15269314,-0.511651036,-2.325435246
36:15.5,-0.237871684,-0.587794806,-2.283745057
36:15.5,-0.224369724,-0.618055241,-2.322336658
36:15.5,-0.135967689,-0.651086428,-2.388792115
36:15.5,-0.046556051,-0.683144229,-2.430616793
36:15.5,0.008321846,-0.678262921,-2.430623984
36:15.5,0.083827523,-0.604480842,-2.399496158
36:15.6,0.149072573,-0.504581675,-2.38332571
36:15.6,0.204556338,-0.319210217,-2.349913691
36:15.6,0.146932723,-0.174734526,-2.36685539
